Geocodigo;Cidade;Latitude;Longitude
1303569;Rio Preto da Eva;-2,693301542;-59,70473809
1303601;Santa Isabel do Rio Negro;-0,416694832;-65,02002264
1303700;Santo Antônio do Içá;-3,103162222;-67,946205
1303809;São Gabriel da Cachoeira;-0,130186667;-67,08790889
1303908;São Paulo de Olivença;-3,461914444;-68,95105833
1303957;São Sebastião do Uatumã;-2,568376115;-57,8729303
1304005;Silves;-2,83642743;-58,21480086
1304062;Tabatinga;-4,231883676;-69,94624438
1304104;Tapauá;-5,621551671;-63,18760369
1304203;Tefé;-3,349814715;-64,71119316
1304237;Tonantins;-2,861641341;-67,77622286
1304260;Uarini;-2,980912625;-65,1627908
1304302;Urucará;-2,534753224;-57,75889241
1304401;Urucurituba;-3,134633116;-58,15964104
1400027;Amajari;3,65215169;-61,41938455
1400050;Alto Alegre;2,988238346;-61,31049726
1400100;Boa Vista;2,819670433;-60,67351102
1400159;Bonfim;3,363731722;-59,82975297
1400175;Cantá;2,609223375;-60,60188034
1400209;Caracaraí;1,808589938;-61,13259815
1400233;Caroebe;0,878011966;-59,69677439
1400282;Iracema;2,166860709;-61,05256465
1400308;Mucajaí;2,445661799;-60,9208992
1400407;Normandia;3,882978285;-59,63520628
1400456;Pacaraima;4,47525934;-61,14730635
1400472;Rorainópolis;0,940860885;-60,4345244
1400506;São João da Baliza;0,947159977;-59,9133473
1400605;São Luiz;1,017069558;-60,03885482
1400704;Uiramutã;4,595017632;-60,16261056
1500107;Abaetetuba;-1,72350278;-48,88442272
1500131;Abel Figueiredo;-4,950501655;-48,39760481
1500206;Acará;-1,962741101;-48,19659298
1500305;Afuá;-0,15728242;-50,39024679
1500347;Água Azul do Norte;-6,808030392;-50,47905913
1500404;Alenquer;-1,951397505;-54,74086235
1500503;Almeirim;-1,525075054;-52,58230604
1500602;Altamira;-3,212090084;-52,21141572
1500701;Anajás;-0,986740456;-49,9446497
1500800;Ananindeua;-1,368713568;-48,37206665
1500859;Anapu;-3,477467425;-51,20860155
1500909;Augusto Corrêa;-1,023576346;-46,64269299
1500958;Aurora do Pará;-2,133429444;-47,5603605
1501006;Aveiro;-3,605595259;-55,33073439
1501105;Bagre;-1,895701169;-50,21274094
1501204;Baião;-2,788385788;-49,67482066
1501253;Bannach;-7,352688699;-50,41069971
1501303;Barcarena;-1,507447907;-48,62206944
1501402;Belém;-1,456356184;-48,5044302
1501451;Belterra;-2,639165329;-54,93478522
1501501;Benevides;-1,361437515;-48,24183645
1501576;Bom Jesus do Tocantins;-5,047927142;-48,59967843
1501600;Bonito;-1,361566476;-47,30473173
1501709;Bragança;-1,052981886;-46,77108493
1501725;Brasil Novo;-3,302514169;-52,53812423
1501758;Brejo Grande do Araguaia;-5,698648318;-48,40271308
1501782;Breu Branco;-3,768698649;-49,55886697
1501808;Breves;-1,675731342;-50,47512577
1501907;Bujaru;-1,513991462;-48,03587501
1501956;Cachoeira do Piriá;-1,760579922;-46,54426929
1502004;Cachoeira do Arari;-1,008786266;-48,96066758
1502103;Cametá;-2,256228119;-49,50673421
1502152;Canaã dos Carajás;-6,529549018;-49,84514778
1502202;Capanema;-1,194752299;-47,1772742
1502301;Capitão Poço;-1,748228202;-47,06329892
1502400;Castanhal;-1,29194497;-47,92235611
1502509;Chaves;-0,16243729;-49,98931861
1502608;Colares;-0,931801667;-48,28444078
1502707;Conceição do Araguaia;-8,26911163;-49,26828133
1502756;Concórdia do Pará;-1,994687892;-47,94515233
1502764;Cumaru do Norte;-7,81056057;-50,77452823
1502772;Curionópolis;-6,096819952;-49,60221423
1502806;Curralinho;-1,811132334;-49,79855915
1502855;Curuá;-1,884701009;-55,11745325
1502905;Curuçá;-0,728422327;-47,85692564
1502939;Dom Eliseu;-4,296137567;-47,55145526
1502954;Eldorado do Carajás;-6,098869475;-49,36558429
1503002;Faro;-2,173271817;-56,74455695
1503044;Floresta do Araguaia;-7,544175205;-49,69519724
1503077;Garrafão do Norte;-1,932911446;-47,04874936
1503093;Goianésia do Pará;-3,842468;-49,10104492
1503101;Gurupá;-1,404187555;-51,64205429
1503200;Igarapé-Açu;-1,126568691;-47,6231236
1503309;Igarapé-Miri;-1,983116;-48,96229947
1503408;Inhangapi;-1,429289101;-47,90863536
1503457;Ipixuna do Pará;-2,556156152;-47,50069401
1503507;Irituia;-1,772802322;-47,44047328
1503606;Itaituba;-4,26372948;-55,99004886
1503705;Itupiranga;-5,132444938;-49,33111142
1503754;Jacareacanga;-6,222182434;-57,7635486
1503804;Jacundá;-4,447121347;-49,11294928
1503903;Juruti;-2,155252995;-56,09499769
1504000;Limoeiro do Ajuru;-1,892798015;-49,38147322
1504059;Mãe do Rio;-2,045630454;-47,55713697
1504109;Magalhães Barata;-0,797446315;-47,60105868
1504208;Marabá;-5,340040664;-49,09251821
1504307;Maracanã;-0,771500525;-47,45165896
1504406;Marapanim;-0,711377107;-47,6964209
1504422;Marituba;-1,346417266;-48,34053588
1504455;Medicilândia;-3,445417412;-52,88834535
1504505;Melgaço;-1,803884521;-50,71578599
1504604;Mocajuba;-2,57863589;-49,50627377
1504703;Moju;-1,89583276;-48,76748848
