613042.154,7800378.768
613007.607,7800329.506
613043.802,7800307.069
613060.313,7800331.411
613141.889,7800277.129
613200.190,7800386.865
613198.734,7800391.109
613197.890,7800395.515
613197.674,7800399.995
613198.091,7800404.462
613199.132,7800408.826
613205.288,7800428.395
613145.208,7800446.671
613130.548,7800397.635
613128.812,7800392.761
613126.581,7800388.092
613123.879,7800383.680
613120.736,7800379.570
613117.185,7800375.806
613113.265,7800372.430
613109.016,7800369.477
613104.485,7800366.979
613099.720,7800364.963
613094.772,7800363.450
613089.694,7800362.456
613084.541,7800361.993
613079.368,7800362.064
613074.229,7800362.670
613069.181,7800363.803
613064.277,7800365.452
613059.569,7800367.599
613055.109,7800370.221

